trade_number,timestamp,symbol,action,signal,quantity,price,commission,pnl,return_pct
205,2025-06-26T14:15:00-04:00,OKLO,BUY,BUY,1432,56.11,1.0,,
206,2025-06-26T15:15:00-04:00,OKLO,SELL,SELL,1432,56.15,1.0,56.27999999999878,0.07004310613048774
207,2025-06-26T15:25:00-04:00,OKLO,BUY,BUY,1426,56.4,1.0,,
208,2025-06-26T15:35:00-04:00,OKLO,SELL,SELL,1426,56.18,1.0,-314.7199999999984,-0.3913094293735697
209,2025-06-27T09:30:00-04:00,OKLO,BUY,BUY,1355,59.11,1.0,,
210,2025-06-27T10:55:00-04:00,OKLO,SELL,SELL,1355,57.37,1.0,-2358.7000000000025,-2.944876119061044
211,2025-06-27T11:10:00-04:00,OKLO,BUY,BUY,1337,58.26,1.0,,
212,2025-06-27T11:25:00-04:00,OKLO,SELL,SELL,1337,57.32,1.0,-1257.779999999997,-1.6147199896475481
213,2025-06-27T13:00:00-04:00,OKLO,BUY,BUY,1341,57.19,1.0,,
214,2025-06-27T13:05:00-04:00,OKLO,SELL,SELL,1341,56.92,1.0,-363.06999999999465,-0.47340825649972396
215,2025-06-27T13:25:00-04:00,OKLO,BUY,BUY,1329,57.43,1.0,,
216,2025-06-27T14:00:00-04:00,OKLO,SELL,SELL,1329,56.92,1.0,-678.7899999999973,-0.8893361547593449
217,2025-06-27T15:40:00-04:00,OKLO,BUY,BUY,1369,55.3,1.0,,
218,2025-06-27T15:45:00-04:00,OKLO,SELL,SELL,1369,55.09,1.0,-288.4899999999914,-0.38106270647114643
219,2025-06-27T15:50:00-04:00,OKLO,BUY,BUY,1365,55.23,1.0,,
220,2025-06-30T09:35:00-04:00,OKLO,SELL,SELL,1365,54.9,1.0,-451.44999999999766,-0.598819869226598
221,2025-06-30T09:45:00-04:00,OKLO,BUY,BUY,1355,55.34,1.0,,
222,2025-06-30T09:55:00-04:00,OKLO,SELL,SELL,1355,55.02,1.0,-434.60000000000036,-0.5795694436480073
223,2025-06-30T10:35:00-04:00,OKLO,BUY,BUY,1356,54.97,1.0,,
224,2025-06-30T10:45:00-04:00,OKLO,SELL,SELL,1356,54.82,1.0,-204.39999999999807,-0.2742140092771242
225,2025-06-30T11:20:00-04:00,OKLO,BUY,BUY,1357,54.8,1.0,,
226,2025-06-30T11:25:00-04:00,OKLO,SELL,SELL,1357,54.48,1.0,-435.2400000000004,-0.5852784792764305
227,2025-06-30T11:30:00-04:00,OKLO,BUY,BUY,1350,54.78,1.0,,
228,2025-06-30T11:45:00-04:00,OKLO,SELL,SELL,1350,54.45,1.0,-446.4999999999977,-0.6037536847229328
229,2025-06-30T11:50:00-04:00,OKLO,BUY,BUY,1339,54.91,1.0,,
230,2025-06-30T12:10:00-04:00,OKLO,SELL,SELL,1339,54.42,1.0,-657.1099999999932,-0.8937172673041598
231,2025-06-30T12:30:00-04:00,OKLO,BUY,BUY,1327,54.94,1.0,,
232,2025-06-30T14:40:00-04:00,OKLO,SELL,SELL,1327,55.5,1.0,742.1200000000031,1.017908172096877
